code,name,group,description,is_available,price
SHO.1912.2001,Espresso,BEVERAGE,,1,14000
SHO.1912.2002,Espresso doppio,BEVERAGE,,1,17000
SHO.1912.2003,Cappucino,BEVERAGE,,1,24000
SHO.1912.2004,Cafe latte,BEVERAGE,,1,25000
SHO.1912.2005,Americano,BEVERAGE,,1,18000
SHO.1912.2006,Mochacino,BEVERAGE,,1,25000
SHO.1912.2007,Long black,BEVERAGE,,1,18000
SHO.1912.2008,Green tea latte,BEVERAGE,,1,22000
SHO.1912.2009,Taro latte,BEVERAGE,,1,22000
SHO.1912.2010,Karlos honey v60 method,BEVERAGE,,1,23000
SHO.1912.2011,Aceh gayo v60 method,BEVERAGE,,1,23000
SHO.1912.2012,Bali tabanan v60 method,BEVERAGE,,1,18000
SHO.1912.2013,Karlos honey french press method,BEVERAGE,,1,20000
SHO.1912.2014,Aceh gayo french press method,BEVERAGE,,1,20000
SHO.1912.2015,Bali tabanan french press method,BEVERAGE,,1,13000
SHO.1912.2016,Shokudo black coffee french press method,BEVERAGE,,1,10000
SHO.1912.2017,Karlos honey tubruk method,BEVERAGE,,1,18000
SHO.1912.2018,Aceh gayo tubruk method,BEVERAGE,,1,18000
SHO.1912.2019,Bali tabanan tubruk method,BEVERAGE,,1,11000
SHO.1912.2020,Shokudo black coffee tubruk method,BEVERAGE,,1,10000
SHO.1912.2021,Cappucino shake,BEVERAGE,,1,26000
SHO.1912.2022,Ice latte,BEVERAGE,,1,26000
SHO.1912.2023,Coffeenergy original,BEVERAGE,,1,25000
SHO.1912.2024,Coffeenergy hazelnut,BEVERAGE,,1,28000
SHO.1912.2025,Coffeenergy tiramisu,BEVERAGE,,1,28000
SHO.1912.2026,Coffeenergy caramel,BEVERAGE,,1,28000
SHO.1912.2027,Green tea matcha,BEVERAGE,,1,26000
SHO.1912.2028,Taro,BEVERAGE,,1,26000
SHO.1912.2029,Choco original,BEVERAGE,,1,27000
SHO.1912.2030,Choco hazelnut,BEVERAGE,,1,28000
SHO.1912.2031,Choco tiramissu,BEVERAGE,,1,28000
SHO.1912.2032,Choco caramel,BEVERAGE,,1,28000
SHO.1912.2033,Milk shake vanilla,BEVERAGE,,1,25000
SHO.1912.2034,Milk shake strawberry,BEVERAGE,,1,25000
SHO.1912.2035,Milk shake chocolate,BEVERAGE,,1,25000
SHO.1912.2036,Orange juice,BEVERAGE,,1,20000
SHO.1912.2037,Tomato juice,BEVERAGE,,1,20000
SHO.1912.2038,Carrot juice,BEVERAGE,,1,20000
SHO.1912.2039,Guava juice,BEVERAGE,,1,20000
SHO.1912.2040,Honeydew juice,BEVERAGE,,1,20000
SHO.1912.2041,Watermelon juice,BEVERAGE,,1,20000
SHO.1912.2042,Green healthy juice,BEVERAGE,,1,20000
SHO.1912.2043,Booster juice,BEVERAGE,,1,20000
SHO.1912.2044,Pink juice,BEVERAGE,,1,20000
SHO.1912.2045,Shokudo healthy juice,BEVERAGE,,1,20000
SHO.1912.2046,Strawberry squash,BEVERAGE,,1,20000
SHO.1912.2047,Orange squash,BEVERAGE,,1,20000
SHO.1912.2048,Lychee squash,BEVERAGE,,1,20000
SHO.1912.2049,Lime squash,BEVERAGE,,1,20000
SHO.1912.2050,Signature bajigur,BEVERAGE,,1,18000
SHO.1912.2051,Signature bandrek,BEVERAGE,,1,18000
SHO.1912.2052,Signature sekoteng,BEVERAGE,,1,18000
SHO.1912.2053,Signature kirana,BEVERAGE,,1,18000
SHO.1912.2054,Signature ginger,BEVERAGE,,1,18000
SHO.1912.2055,Lipton series english breakfast,BEVERAGE,,1,18000
SHO.1912.2056,Lipton series earl grey,BEVERAGE,,1,18000
SHO.1912.2057,Lipton chamomile,BEVERAGE,,1,18000
SHO.1912.2058,Lipton green tea mint,BEVERAGE,,1,18000
SHO.1912.2059,Chrisantenum,BEVERAGE,,1,18000
SHO.1912.2060,Iced strawberry tea,BEVERAGE,,1,14000
SHO.1912.2061,Iced vanilla tea,BEVERAGE,,1,14000
SHO.1912.2062,Iced lychee tea,BEVERAGE,,1,14000
SHO.1912.2063,Iced grenadine tea,BEVERAGE,,1,14000
SHO.1912.2064,Iced lemon tea,BEVERAGE,,1,14000
SHO.1912.2065,Virgin pinnacolada,BEVERAGE,"Pineapple juice, coconut milk, vanilla ice cream",1,22000
SHO.1912.2066,Virgin singapore sling,BEVERAGE,"Grenadine syrup, pineapple juice, orange juice, soda",1,22000
